x,y,rl,crosectional_distance,khal_name
732584.25,2460306.917,0.17,47,
732583.9375,2460305.938,0.71,48,
732583.3125,2460303.979,1.17,50,
732583,2460303,2,51,
732582.6875,2460302.021,1.99,52,
732582.0625,2460300.063,1.08,54,
732581.4375,2460298.104,0.9,56,
732580.1875,2460294.188,0.8,60,
732578.3125,2460288.313,0.75,66,
732518,2460398.6,0.92,0,
732512,2460393.533,1,8,
732511.25,2460392.9,2.18,9,
732509,2460391,2.17,12,
732507.5,2460389.733,1.54,14,
732506,2460388.467,1.17,16,
732503.75,2460386.567,0.98,19,
732501.5,2460384.667,0.74,22,
732499.25,2460382.767,0.45,25,
732497.75,2460381.5,0.04,27,
732496.25,2460380.233,-0.37,29,
732494.75,2460378.967,-0.63,31,
732493.25,2460377.7,-1.05,33,
732491,2460375.8,-1.28,36,
732489.5,2460374.533,-1.63,38,
732488,2460373.267,-1.83,40,
732486.5,2460372,-1.9,42,
732484.25,2460370.1,-1.89,45,
732482,2460368.2,-1.7,48,
732480.5,2460366.933,-1.29,50,
732476.75,2460363.767,-1.3,55,
732474.5,2460361.867,-1.29,58,
732473.75,2460361.233,-1.21,59,
732472.25,2460359.967,-0.83,61,
732470.75,2460358.7,-0.37,63,
732469.25,2460357.433,0.17,65,
732467,2460355.533,0.53,68,
732465.5,2460354.267,1.17,70,
732464,2460353,1.62,72,
732463.25,2460352.367,1.64,73,
732461,2460350.467,0.67,76,
732458,2460347.933,0.64,80,
732455.75,2460346.033,0.6,83,
732427.3878,2460454.837,2.51,0,
732425,2460453,2.5,3,
732421.8163,2460450.551,1.17,7,
732421.0204,2460449.939,0.71,8,
732419.4286,2460448.714,0.22,10,
732417.0408,2460446.878,0.05,13,
732414.6531,2460445.041,-0.21,16,
732412.2653,2460443.204,-0.35,19,
732411.4694,2460442.592,-0.58,20,
732410.6735,2460441.98,-0.83,21,
732409.8776,2460441.367,-1.16,22,
732408.2857,2460440.143,-1.44,24,
732406.6939,2460438.918,-1.44,26,
732405.102,2460437.694,-1.36,28,
732403.5102,2460436.469,-1.08,30,
732401.9184,2460435.245,-0.83,32,
732400.3265,2460434.02,-0.48,34,
732398.7347,2460432.796,-0.13,36,
732397.1429,2460431.571,-0.47,38,
732395.551,2460430.347,-0.41,40,
732393.9592,2460429.122,-0.23,42,
732393.1633,2460428.51,-0.23,43,
732392.3673,2460427.898,-0.01,44,
732391.5714,2460427.286,0.21,45,
732389.1837,2460425.449,0.77,48,
732387.5918,2460424.224,1.17,50,
732386,2460423,1.8,52,
732385.2041,2460422.388,1.79,53,
732384.4082,2460421.776,1.61,54,
732383.6122,2460421.163,1.6,55,
732357.0444,2460551.667,1.97,0,
732355.3111,2460549.667,1.98,3,
732354.7333,2460549,2.23,4,
732353,2460547,2.22,7,
732351.2667,2460545,1.17,10,
732349.5333,2460543,0.31,13,
732348.3778,2460541.667,0.16,15,
732346.6444,2460539.667,-0.06,18,
732345.4889,2460538.333,-0.07,20,
732344.3333,2460537,-0.33,22,
732343.7556,2460536.333,-0.57,23,
732342.0222,2460534.333,-0.073,26,
732340.8667,2460533,-1.16,28,
732339.7111,2460531.667,-1.16,30,
732339.1333,2460531,-0.96,31,
732338.5556,2460530.333,-0.83,32,
732337.9778,2460529.667,-0.28,33,
732337.4,2460529,-0.16,34,
732336.8222,2460528.333,0.02,35,
732336.2444,2460527.667,0.03,36,
732335.6667,2460527,0.07,37,
732335.0889,2460526.333,0.11,38,
732333.9333,2460525,0.09,40,
732332.7778,2460523.667,0.11,42,
732331.6222,2460522.333,0.1,44,
732330.4667,2460521,0.11,46,
732329.3111,2460519.667,0.88,48,
732328.1556,2460518.333,1.17,50,
732327,2460517,1.91,52,
732325.8444,2460515.667,1.88,54,
732324.6889,2460514.333,0.8,56,
732323.5333,2460513,0.76,58,
732322.3778,2460511.667,0.74,60,
732270.5714,2460574,1.69,0,
732266.5079,2460567.778,1.7,8,
732266,2460567,1.71,9,
732265.4921,2460566.222,1.17,10,
732264.4762,2460564.667,0.54,12,
732263.4603,2460563.111,0.16,14,
732262.4444,2460561.556,0.06,16,
732261.4286,2460560,-0.28,18,
732260.4127,2460558.444,-0.48,20,
732259.3968,2460556.889,-0.047,22,
732258.381,2460555.333,-0.48,24,
732257.3651,2460553.778,-0.21,26,
732256.3492,2460552.222,-0.11,28,
732255.3333,2460550.667,-0.03,30,
732254.3175,2460549.111,-0.04,32,
732253.3016,2460547.556,-0.05,34,
732252.2857,2460546,0.03,36,
732250.7619,2460543.667,0.07,39,
732249.2381,2460541.333,0.05,42,
732247.7143,2460539,0.01,45,
732246.1905,2460536.667,0.06,48,
732244.6667,2460534.333,0.09,51,
732242.6349,2460531.222,-0.11,55,
