X-ID,Chanage,Directon,UTM_X,UTM_Y,x,y,,Distance,RL_m(PWD),Remarks,Surveyor Name,XsectionNo,origin_x,origin_y,del_s,chn
7,500,L to R,,,735422.7895,2465279.526,,26,-0.93,,,GBR_7,,,,
7,500,L to R,,,735423.3158,2465280.211,,27,-0.68,,,GBR_7,,,,
7,500,L to R,,,735423.8421,2465280.895,,28,-0.34,,,GBR_7,,,,
7,500,L to R,,,735424.3684,2465281.579,,29,0.09,,,GBR_7,,,,
7,500,L to R,,,735424.8947,2465282.263,,30,0.75,,,GBR_7,,,,
7,500,L to R,,,735425.4211,2465282.947,,31,0.95,,,GBR_7,,,,
7,500,L to R,,,735425.9474,2465283.632,,32,1.12,,,GBR_7,,,,
7,500,L to R,,,735426.4737,2465284.316,,33,1.4,,,GBR_7,,,,
7,500,L to R,735427,2465285,735427,2465285,,34,1.72,RB,,GBR_7,,,,
7,500,L to R,,,735427.5263,2465285.684,,35,1.75,Dyke,,GBR_7,,,,
7,500,L to R,,,735428.5789,2465287.053,,37,1.29,Fishari,,GBR_7,,,,
7,500,L to R,,,735429.6316,2465288.421,,39,0.83,Fishari,,GBR_7,,,,
7,500,L to R,,,735431.2105,2465290.474,,42,0.79,Fishari,,GBR_7,,,,
7,500,L to R,,,735433.3158,2465293.211,,46,0.75,Fishari,,GBR_7,,,,
7,500,L to R,,,735434.3684,2465294.579,,48,0.79,Fishari,,GBR_7,,,,
8,600,L to R,,,735497.9231,2465264.923,,0,0.21,Fishari,,GBR_8,,,,
8,600,L to R,,,735501.1538,2465266.154,,3,0.21,Fishari,,GBR_8,,,,
8,600,L to R,,,735502.2308,2465266.564,,4,0.97,Fishari,,GBR_8,,,,
8,600,L to R,,,735503.3077,2465266.974,,5,1.38,Fishari,,GBR_8,,,,
8,600,L to R,,,735504.3846,2465267.385,,6,1.38,Fishari,,GBR_8,,,,
8,600,L to R,,,735505.4615,2465267.795,,7,1.78,Dyke,,GBR_8,,,,
8,600,L to R,735506,2465268,735506,2465268,,7.5,1.78,LB,,GBR_8,,,,
8,600,L to R,,,735506.5385,2465268.205,,8,1.4,,,GBR_8,,,,
8,600,L to R,,,735507.6154,2465268.615,,9,0.56,,,GBR_8,,,,
8,600,L to R,,,735508.6923,2465269.026,,10,0.24,,,GBR_8,,,,
8,600,L to R,,,735509.7692,2465269.436,,11,-0.14,,,GBR_8,,,,
8,600,L to R,,,735510.8462,2465269.846,,12,-0.38,,,GBR_8,,,,
8,600,L to R,,,735511.9231,2465270.256,,13,-0.89,,,GBR_8,,,,
8,600,L to R,,,735513,2465270.667,,14,-1.18,,,GBR_8,,,,
8,600,L to R,,,735514.0769,2465271.077,,15,-1.2,,,GBR_8,,,,
8,600,L to R,,,735515.1538,2465271.487,,16,-1.2,CL,,GBR_8,735370.5714,2465740.571,490.860336,490.860336
8,600,L to R,,,735516.2308,2465271.897,,17,-1.2,,,GBR_8,,,,
8,600,L to R,,,735517.3077,2465272.308,,18,-0.96,,,GBR_8,,,,
8,600,L to R,,,735518.3846,2465272.718,,19,-0.51,,,GBR_8,,,,
8,600,L to R,,,735519.4615,2465273.128,,20,-0.13,,,GBR_8,,,,
8,600,L to R,,,735520.5385,2465273.538,,21,0.13,,,GBR_8,,,,
8,600,L to R,,,735521.6154,2465273.949,,22,0.3,,,GBR_8,,,,
8,600,L to R,,,735522.6923,2465274.359,,23,0.32,,,GBR_8,,,,
8,600,L to R,,,735523.7692,2465274.769,,24,0.5,,,GBR_8,,,,
8,600,L to R,,,735524.8462,2465275.179,,25,0.6,,,GBR_8,,,,
8,600,L to R,,,735525.9231,2465275.59,,26,0.78,,,GBR_8,,,,
8,600,L to R,735527,2465276,735527,2465276,,27,1.4,RB,,GBR_8,,,,
8,600,L to R,,,735527.5385,2465276.205,,27.5,1.71,Land,,GBR_8,,,,
8,600,L to R,,,735528.0769,2465276.41,,28,1.7,Land,,GBR_8,,,,
8,600,L to R,,,735530.2308,2465277.231,,30,1.23,Land,,GBR_8,,,,
8,600,L to R,,,735532.3846,2465278.051,,32,0.91,Fishari,,GBR_8,,,,
8,600,L to R,,,735534.5385,2465278.872,,34,0.77,Fishari,,GBR_8,,,,
8,600,L to R,,,735536.6923,2465279.692,,36,0.45,Fishari,,GBR_8,,,,
8,600,L to R,,,735538.8462,2465280.513,,38,0.44,Fishari,,GBR_8,,,,
8,600,L to R,,,735541,2465281.333,,40,0.45,Fishari,,GBR_8,,,,
8,600,L to R,,,735546.3846,2465283.385,,45,0.45,Fishari,,GBR_8,,,,
8,600,L to R,,,735551.7692,2465285.436,,50,0.46,Fishari,,GBR_8,,,,
9,700,L to R,,,735562.8085,2465184.809,,0,1.04,Fishari,,GBR_9,,,,
9,700,L to R,,,735564.8511,2465186.851,,2,1.05,Fishari,,GBR_9,,,,
9,700,L to R,,,735565.8723,2465187.872,,3,1.39,Fishari,,GBR_9,,,,
9,700,L to R,,,735567.9149,2465189.915,,5,1.39,Fishari,,GBR_9,,,,
9,700,L to R,735572,2465194,735572,2465194,,9,1.47,LB,,GBR_9,,,,
9,700,L to R,,,735572.5106,2465194.511,,9.5,1.36,,,GBR_9,,,,
9,700,L to R,,,735573.0213,2465195.021,,10,1.02,,,GBR_9,,,,
9,700,L to R,,,735574.0426,2465196.043,,11,0.48,,,GBR_9,,,,
9,700,L to R,,,735575.0638,2465197.064,,12,0.68,,,GBR_9,,,,
9,700,L to R,,,735576.0851,2465198.085,,13,0.58,,,GBR_9,,,,
9,700,L to R,,,735577.1064,2465199.106,,14,0.58,,,GBR_9,,,,
9,700,L to R,,,735578.1277,2465200.128,,15,0.56,,,GBR_9,,,,
9,700,L to R,,,735579.1489,2465201.149,,16,0.58,,,GBR_9,,,,
9,700,L to R,,,735580.1702,2465202.17,,17,0.59,,,GBR_9,,,,
9,700,L to R,,,735581.1915,2465203.191,,18,0.56,,,GBR_9,,,,
9,700,L to R,,,735582.2128,2465204.213,,19,0.4,,,GBR_9,,,,
9,700,L to R,,,735583.234,2465205.234,,20,0.18,,,GBR_9,,,,
9,700,L to R,,,735584.2553,2465206.255,,21,-0.14,,,GBR_9,,,,
9,700,L to R,,,735585.2766,2465207.277,,22,-0.44,,,GBR_9,,,,
9,700,L to R,,,735586.2979,2465208.298,,23,-0.97,,,GBR_9,,,,
9,700,L to R,,,735587.3191,2465209.319,,24,-1.32,CL,,GBR_9,735370.5714,2465740.571,573.7667235,573.7667235
9,700,L to R,,,735588.3404,2465210.34,,25,-1.46,,,GBR_9,,,,
9,700,L to R,,,735589.3617,2465211.362,,26,-1.36,,,GBR_9,,,,
9,700,L to R,,,735590.383,2465212.383,,27,-1.21,,,GBR_9,,,,
9,700,L to R,,,735591.4043,2465213.404,,28,-0.72,,,GBR_9,,,,
9,700,L to R,,,735592.4255,2465214.426,,29,-0.39,,,GBR_9,,,,
9,700,L to R,,,735593.4468,2465215.447,,30,0.4,,,GBR_9,,,,
9,700,L to R,,,735594.4681,2465216.468,,31,0.8,,,GBR_9,,,,
9,700,L to R,,,735595.4894,2465217.489,,32,1.36,,,GBR_9,,,,
9,700,L to R,735596,2465218,735596,2465218,,32.5,1.79,RB,,GBR_9,,,,
9,700,L to R,,,735596.5106,2465218.511,,33,1.81,DYKE,,GBR_9,,,,
9,700,L to R,,,735598.5532,2465220.553,,35,1.05,Fishari,,GBR_9,,,,
9,700,L to R,,,735600.5957,2465222.596,,37,0.66,Fishari,,GBR_9,,,,
9,700,L to R,,,735602.6383,2465224.638,,39,0.47,Fishari,,GBR_9,,,,
9,700,L to R,,,735603.6596,2465225.66,,40,0.55,Fishari,,GBR_9,,,,
9,700,L to R,,,735608.766,2465230.766,,45,0.51,Fishari,,GBR_9,,,,
,,,,,,,,,,,,GBR_9,,,,
10,800,L to R,,,735588,2465115.118,,0,0.89,Fishari,,GBR_9,,,,
10,800,L to R,,,735591,2465116.353,,3,0.9,Fishari,,GBR_9,,,,
10,800,L to R,,,735592,2465116.765,,4,1.09,Fishari,,GBR_9,,,,
10,800,L to R,,,735593,2465117.176,,5,1.09,Fishari,,GBR_9,,,,
10,800,L to R,,,735594,2465117.588,,6,1.61,Dyke,,GBR_9,,,,
10,800,L to R,735595,2465118,735595,2465118,,7,1.62,LB,,GBR_9,,,,
10,800,L to R,,,735595.5,2465118.206,,7.5,1.37,,,GBR_9,,,,
10,800,L to R,,,735596,2465118.412,,8,0.57,,,GBR_9,,,,
10,800,L to R,,,735597,2465118.824,,9,0.35,,,GBR_9,,,,
10,800,L to R,,,735598,2465119.235,,10,0.1,,,GBR_9,,,,
10,800,L to R,,,735599,2465119.647,,11,-0.25,,,GBR_9,,,,
10,800,L to R,,,735600,2465120.059,,12,-0.65,,,GBR_9,,,,
10,800,L to R,,,735601,2465120.471,,13,-0.92,,,GBR_9,,,,
10,800,L to R,,,735602,2465120.882,,14,-1.23,,,GBR_9,,,,
10,800,L to R,,,735603,2465121.294,,15,-1.34,CL,,GBR_9,735370.5714,2465740.571,661.4582805,661.4582805
10,800,L to R,,,735604,2465121.706,,16,-1.27,,,GBR_9,,,,
