x,y,rl,crosectional_distance,Khal_Name
733815.7778,2460232.778,0.03,24,10NoSora
733814.5556,2460233.556,-0.13,25,10NoSora
733813.3333,2460234.333,-0.02,26,10NoSora
733812.1111,2460235.111,0.02,27,10NoSora
733810.8889,2460235.889,0.09,28,10NoSora
733809.6667,2460236.667,0.11,29,10NoSora
733808.4444,2460237.444,0.26,30,10NoSora
733807.2222,2460238.222,0.51,31,10NoSora
733806.6111,2460238.611,0.73,31.5,10NoSora
733806,2460239,1.67,32,10NoSora
733802.3333,2460241.333,1.66,35,10NoSora
733877.8667,2460318.4,1.53,0,10NoSora
733866.5333,2460322.4,1.52,10,10NoSora
733864.2667,2460323.2,1.56,12,10NoSora
733862,2460324,1.57,14,10NoSora
733859.7333,2460324.8,0.73,16,10NoSora
733858.6,2460325.2,0.33,17,10NoSora
733857.4667,2460325.6,-0.23,18,10NoSora
733856.3333,2460326,-0.28,19,10NoSora
733855.2,2460326.4,-0.29,20,10NoSora
733854.0667,2460326.8,-0.44,21,10NoSora
733852.9333,2460327.2,-0.48,22,10NoSora
733851.8,2460327.6,-0.48,23,10NoSora
733850.6667,2460328,-0.52,24,10NoSora
733849.5333,2460328.4,-0.36,25,10NoSora
733848.4,2460328.8,0.09,26,10NoSora
733847.2667,2460329.2,0.73,27,10NoSora
733845,2460330,1.57,29,10NoSora
733842.1667,2460331,1.56,31.5,10NoSora
733840.4667,2460331.6,0.05,33,10NoSora
733837.0667,2460332.8,-0.37,36,10NoSora
733830.2667,2460335.2,-0.57,42,10NoSora
733885.0588,2460436.059,0.24,0,10NoSora
733875.1765,2460434.176,0.2,8,10NoSora
733873.9412,2460433.941,0.83,9,10NoSora
733871.4706,2460433.471,2.26,11,10NoSora
733869,2460433,2.25,13,10NoSora
733866.5294,2460432.529,0.73,15,10NoSora
733865.9118,2460432.412,-0.02,15.5,10NoSora
733865.2941,2460432.294,-0.45,16,10NoSora
733864.0588,2460432.059,-0.3,17,10NoSora
733862.8235,2460431.824,0.03,18,10NoSora
733861.5882,2460431.588,0.03,19,10NoSora
733860.3529,2460431.353,0.07,20,10NoSora
733859.1176,2460431.118,0.07,21,10NoSora
733857.8824,2460430.882,0.03,22,10NoSora
733856.6471,2460430.647,-0.07,23,10NoSora
733855.4118,2460430.412,-0.47,24,10NoSora
733852.9412,2460429.941,-0.48,26,10NoSora
733851.7059,2460429.706,-0.48,27,10NoSora
733850.4706,2460429.471,-0.08,28,10NoSora
733849.2353,2460429.235,0.731,29,10NoSora
733848,2460429,1.88,30,10NoSora
733844.2941,2460428.294,1.9,33,10NoSora
733843.0588,2460428.059,1.56,34,10NoSora
733839.3529,2460427.353,1.55,37,10NoSora
733823.5714,2460530.857,0.18,0,10NoSora
733820,2460528,0.2,5,10NoSora
733817.8571,2460526.286,0.65,8,10NoSora
733816.4286,2460525.143,1.67,10,10NoSora
733815,2460524,1.64,12,10NoSora
733813.5714,2460522.857,0.73,14,10NoSora
733813.2143,2460522.571,0.25,14.5,10NoSora
733812.8571,2460522.286,0.07,15,10NoSora
733812.1429,2460521.714,-0.17,16,10NoSora
733811.4286,2460521.143,-0.04,17,10NoSora
733810.7143,2460520.571,0.08,18,10NoSora
733810,2460520,0.13,19,10NoSora
733809.2857,2460519.429,0.16,20,10NoSora
733808.5714,2460518.857,0.21,21,10NoSora
733807.8571,2460518.286,0.19,22,10NoSora
733807.1429,2460517.714,0.23,23,10NoSora
733806.4286,2460517.143,0.38,24,10NoSora
733805.7143,2460516.571,0.73,25,10NoSora
733805,2460516,1.84,26,10NoSora
